HLT_Mu5_TkMu0_OST_Jpsi_Tight_B5Q7_v14,29
HLT_Mu5_L2Mu2_Jpsi_v14,92
HLT_Mu5_Track2_Jpsi_v14,48
HLT_Mu7_Track7_Jpsi_v15,75
HLT_Photon20_CaloIdVL_IsoL_v10,64
HLT_Photon20_R9Id_Photon18_R9Id_v8,38
HLT_Photon20_CaloIdVT_IsoT_Ele8_CaloIdL_CaloIsoVL_v12,107
HLT_Photon26_Photon18_v8,126
HLT_Photon26_CaloIdXL_IsoXL_Photon18_v5,49
HLT_Photon26_CaloIdXL_IsoXL_Photon18_R9IdT_Mass60_v5,14
HLT_Photon26_CaloIdXL_IsoXL_Photon18_CaloIdXL_IsoXL_Mass60_v5,7
HLT_Photon26_R9IdT_Photon18_CaloIdXL_IsoXL_Mass60_v5,8
HLT_Photon26_R9IdT_Photon18_R9IdT_Mass60_v2,79
HLT_Photon30_CaloIdVL_v9,146
HLT_Photon30_CaloIdVL_IsoL_v12,94
HLT_Photon36_Photon22_v2,114
HLT_Photon36_CaloIdVL_Photon22_CaloIdVL_v3,85
HLT_Photon36_CaloIdL_IsoVL_Photon22_v9,43
HLT_Photon36_CaloIdL_IsoVL_Photon22_CaloIdL_IsoVL_v8,19
HLT_Photon36_CaloIdL_IsoVL_Photon22_R9Id_v7,25
HLT_Photon36_R9Id_Photon22_CaloIdL_IsoVL_v8,19
HLT_Photon36_R9Id_Photon22_R9Id_v4,43
HLT_Photon50_CaloIdVL_v5,54
HLT_Photon50_CaloIdVL_IsoL_v10,29
HLT_Photon60_CaloIdL_HT300_v4,39
HLT_Photon60_CaloIdL_MHT70_v4,35
HLT_Photon70_CaloIdXL_HT400_v4,277
HLT_Photon70_CaloIdXL_HT500_v4,17
HLT_Photon70_CaloIdXL_MHT90_v4,21
HLT_Photon70_CaloIdXL_MHT100_v4,25
HLT_Photon75_CaloIdVL_v8,16
HLT_Photon75_CaloIdVL_IsoL_v11,10
HLT_Photon90_CaloIdVL_v5,4
HLT_Photon90_CaloIdVL_IsoL_v8,4
HLT_Photon90EBOnly_CaloIdVL_IsoL_TriPFJet25_v6,11
HLT_Photon90EBOnly_CaloIdVL_IsoL_TriPFJet30_v6,4
HLT_Photon135_v3,1
HLT_Photon200_NoHE_v5,7
HLT_DoublePhoton43_HEVT_v2,7
HLT_DoublePhoton48_HEVT_v2,3
HLT_DoublePhoton70_v2,4
HLT_DoublePhoton5_IsoVL_CEP_v10,188
HLT_L1SingleEG5_v4,434
HLT_L1SingleEG12_v4,548
HLT_Ele8_v11,530
HLT_Ele8_CaloIdL_CaloIsoVL_v11,332
HLT_Ele8_CaloIdL_TrkIdVL_v11,299
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v9,118
HLT_Ele15_CaloIdT_CaloIsoVL_TrkIdT_TrkIsoVL_v5,165
HLT_Ele17_CaloIdL_CaloIsoVL_v11,176
HLT_Ele17_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_SC8_Mass30_v11,69
